,Coefficient,Model Performance Stats
AdultWeekday,9.681664476707013,
clusters,2.521587250677733,
SkiableTerrain_ac,2.3161502014498434,
quad,1.660349363659378,
averageSnowfall,1.5745854701713762,
daysOpenLastYear,1.4941804962085405,
surface,1.443355597125763,
projectedDaysOpen,1.1917735258763247,
LongestRun_mi,1.1255970335126868,
double,1.121384579517266,
TerrainParks,1.046353896911062,
fastQuads,1.0178848468619892,
vertical_drop,0.9135142987920811,
total_chairs,0.7687617095188681,
yearsOpen,0.7519652305608171,
Snow Making_ac,0.580307652904028,
triple,0.5737828271354077,
Runs,0.5408628627062013,
NightSkiing_ac,0.26076054876066784,
trams,8.881784197001252e-16,
fastSixes,7.771561172376096e-16,
fastEight,2.220446049250313e-16,
Explained Variance,,0.63807734221964
Mean Absolute Error,,7.481612884030336
